instance,sat_result,status,runtime_seconds,peak_memory_mb,memory_metric,solver,solver_backend,solver_binary,solver_message,maxsat_backend_preference,resolved_uwrmaxsat_bin,precedence_mode,encoding_variant,domain_mode,objective,objective_value,proven_optimum,objective_participant_count,objective_participants,idle_range_pstar,all_participant_idle_range,total_internal_idle_slots,initial_schedule_candidates,reduced_schedule_candidates,removed_schedule_candidates,n_vars,n_hard_clauses,n_soft_clauses,n_total_clauses,n_objective_lits,precedence_direct_edges,precedence_closure_edges,precedence_max_distance,participant_internal_idle_slots,busy_participants_per_slot,assignment,schedule_by_slot,validation_errors,enabled_constraints,error_type,error_message,message_type
forum-13.prec15,SAT,OPTIMAL,1.278117,119.367,peak_process_tree_rss_mb,maxsat,UWrMaxSAT,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,process exit code=30,uwrmaxsat,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,staircase,imp12+,reduced,internal_idle_slot_range_pstar,0,0,58,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,52,53,54,56,57,59,60,62,63,64,65,66,70",0,2,116,2395,2367,28,69342,158796,19,158815,19,14,14,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,0,2,2,2,2,2,0,0,0,2","20,22,26,26,24,26,28,28,24,16,20,14,14,6,4,6,4,0,0,0,0","1,2,3,11,7,5,8,10,6,14,1,2,3,4,5,6,7,10,2,1,3,4,5,8,1,2,1,2,7,8,3,5,9,3,8,9,11,5,7,4,10,11,14,16,15,2,3,1,6,10,2,7,3,1,8,11,4,7,9,5,10,6,3,9,8,4,7,7,8,4,3,13,5,6,12,9,2,11,9,8,13,12,2,4,6,10,7,1,3,5,8,7,6,4,11,1,2,12,10,8,4,6,9,11,4,3,6,13,7,8,5,9,11,3,7,6,9,5,13,4,12,4,8,13,17,9,5,7,6,10,12,16,11,6,7,1,12,4,3,15,2,16,5,8,13,9,17,14,13,8,9,11,12,6",1:M1 M11 M20 M25 M27 M48 M54 M88 M96 M136 | 2:M2 M12 M19 M26 M28 M46 M51 M77 M83 M97 M141 | 3:M3 M13 M21 M31 M34 M47 M53 M63 M71 M89 M106 M114 M139 | 4:M14 M22 M40 M57 M66 M70 M84 M94 M101 M105 M120 M122 M138 | 5:M6 M15 M23 M32 M38 M60 M73 M90 M111 M118 M127 M143 | 6:M9 M16 M49 M62 M74 M85 M93 M102 M107 M116 M129 M134 M154 | 7:M5 M17 M29 M39 M52 M58 M67 M68 M87 M92 M109 M115 M128 M135 | 8:M7 M24 M30 M35 M55 M65 M69 M80 M91 M100 M110 M123 M144 M150 | 9:M33 M36 M59 M64 M76 M79 M103 M112 M117 M126 M146 M151 | 10:M8 M18 M41 M50 M61 M86 M99 M130 | 11:M4 M37 M42 M56 M78 M95 M104 M113 M133 M152 | 12:M75 M82 M98 M121 M131 M137 M153 | 13:M72 M81 M108 M119 M124 M145 M149 | 14:M10 M43 M148 | 15:M45 M140 | 16:M44 M132 M142 | 17:M125 M147 | 18: | 19: | 20: | 21:,,"objective-only optimization: no hard upper bound on objective gap | unary domain filtering + participant matching GAC + slot saturation | distance-aware explicit E* bounds and cycle detection | (20),(22)-(27) exactly once over fully reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with compact forward channeling | (28) sparse shared suffix-ladder precedence over distance-labelled E* | linear P* first/last span encoding: B(p)=last-first+1-|Mp| | exact schedule <-> usedSlot channeling | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact max/min objective gap over P* with no hard upper bound",,,result
forum-13.prec25,UNSAT,UNSAT,0.692548,92.043,peak_process_tree_rss_mb,maxsat,UWrMaxSAT,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,process exit code=20,uwrmaxsat,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,staircase,imp12+,reduced,internal_idle_slot_range_pstar,,,58,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,52,53,54,56,57,59,60,62,63,64,65,66,70",,,,2395,2250,145,68239,155349,19,155368,19,48,54,3,,,,,,"objective-only optimization: no hard upper bound on objective gap | unary domain filtering + participant matching GAC + slot saturation | distance-aware explicit E* bounds and cycle detection | (20),(22)-(27) exactly once over fully reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with compact forward channeling | (28) sparse shared suffix-ladder precedence over distance-labelled E* | linear P* first/last span encoding: B(p)=last-first+1-|Mp| | exact schedule <-> usedSlot channeling | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact max/min objective gap over P* with no hard upper bound",,,result
forum-13crafb.prec15,UNSAT,UNSAT,0.846213,100.395,peak_process_tree_rss_mb,maxsat,UWrMaxSAT,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,process exit code=20,uwrmaxsat,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,staircase,imp12+,reduced,internal_idle_slot_range_pstar,,,56,"1,2,3,4,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,36,37,38,39,40,41,42,43,44,45,47,48,51,53,54,56,57,58,59,60,61,62,63,64,65,66,76",,,,3200,3037,163,77686,182560,20,182580,20,29,34,3,,,,,,"objective-only optimization: no hard upper bound on objective gap | unary domain filtering + participant matching GAC + slot saturation | distance-aware explicit E* bounds and cycle detection | (20),(22)-(27) exactly once over fully reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with compact forward channeling | (28) sparse shared suffix-ladder precedence over distance-labelled E* | linear P* first/last span encoding: B(p)=last-first+1-|Mp| | exact schedule <-> usedSlot channeling | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact max/min objective gap over P* with no hard upper bound",,,result
forum-13crafb.prec25,UNSAT,UNSAT,0.836691,101.352,peak_process_tree_rss_mb,maxsat,UWrMaxSAT,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,process exit code=20,uwrmaxsat,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,staircase,imp12+,reduced,internal_idle_slot_range_pstar,,,56,"1,2,3,4,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,36,37,38,39,40,41,42,43,44,45,47,48,51,53,54,56,57,58,59,60,61,62,63,64,65,66,76",,,,3200,2917,283,80117,185988,20,186008,20,71,86,3,,,,,,"objective-only optimization: no hard upper bound on objective gap | unary domain filtering + participant matching GAC + slot saturation | distance-aware explicit E* bounds and cycle detection | (20),(22)-(27) exactly once over fully reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with compact forward channeling | (28) sparse shared suffix-ladder precedence over distance-labelled E* | linear P* first/last span encoding: B(p)=last-first+1-|Mp| | exact schedule <-> usedSlot channeling | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact max/min objective gap over P* with no hard upper bound",,,result
forum-13crafc.prec15,SAT,OPTIMAL,1.48146,122.965,peak_process_tree_rss_mb,maxsat,UWrMaxSAT,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,process exit code=30,uwrmaxsat,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,staircase,imp12+,reduced,internal_idle_slot_range_pstar,0,0,58,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,52,53,54,56,57,59,60,62,63,64,65,66,70",0,2,116,2395,2367,28,69476,159116,19,159135,19,14,14,1,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,0,2,2,2,2,2,0,0,0,2","22,22,24,24,24,24,24,24,24,24,24,12,12,8,6,6,4,0,0,0,0","1,2,3,11,7,5,8,6,10,14,1,2,3,4,5,6,7,10,2,3,1,4,5,8,1,2,1,2,7,8,3,4,9,4,8,9,10,3,11,5,10,11,14,16,15,2,3,1,9,5,6,7,3,1,11,10,8,5,10,8,9,4,6,7,9,4,3,7,10,4,6,13,11,2,9,3,12,11,7,8,9,12,10,4,5,6,13,1,6,3,9,1,4,8,7,2,5,12,10,6,9,11,13,12,1,6,5,7,3,4,2,8,11,6,7,5,12,9,11,10,2,5,7,11,17,8,9,10,13,15,16,14,4,3,7,5,8,2,4,15,1,16,6,11,13,14,10,17,13,6,9,11,12,8",1:M1 M11 M21 M25 M27 M48 M54 M88 M92 M105 M141 | 2:M2 M12 M19 M26 M28 M46 M74 M96 M111 M121 M138 | 3:M3 M13 M20 M31 M38 M47 M53 M67 M76 M90 M109 M134 | 4:M14 M22 M32 M34 M62 M66 M70 M84 M93 M110 M133 M139 | 5:M6 M15 M23 M40 M50 M58 M85 M97 M107 M116 M122 M136 | 6:M8 M16 M51 M63 M71 M86 M89 M100 M106 M114 M143 M150 | 7:M5 M17 M29 M52 M64 M68 M79 M95 M108 M115 M123 M135 | 8:M7 M24 M30 M35 M57 M60 M80 M94 M112 M126 M137 M154 | 9:M33 M36 M49 M61 M65 M75 M81 M91 M101 M118 M127 M151 | 10:M9 M18 M37 M41 M56 M59 M69 M83 M99 M120 M128 M147 | 11:M4 M39 M42 M55 M73 M78 M102 M113 M119 M124 M144 M152 | 12:M77 M82 M98 M104 M117 M153 | 13:M72 M87 M103 M129 M145 M149 | 14:M10 M43 M132 M146 | 15:M45 M130 M140 | 16:M44 M131 M142 | 17:M125 M148 | 18: | 19: | 20: | 21:,,"objective-only optimization: no hard upper bound on objective gap | unary domain filtering + participant matching GAC + slot saturation | distance-aware explicit E* bounds and cycle detection | (20),(22)-(27) exactly once over fully reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with compact forward channeling | (28) sparse shared suffix-ladder precedence over distance-labelled E* | linear P* first/last span encoding: B(p)=last-first+1-|Mp| | exact schedule <-> usedSlot channeling | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact max/min objective gap over P* with no hard upper bound",,,result
forum-13crafc.prec25,UNSAT,UNSAT,0.729684,92.203,peak_process_tree_rss_mb,maxsat,UWrMaxSAT,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,process exit code=20,uwrmaxsat,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,staircase,imp12+,reduced,internal_idle_slot_range_pstar,,,58,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,52,53,54,56,57,59,60,62,63,64,65,66,70",,,,2395,2250,145,68373,155669,19,155688,19,48,54,3,,,,,,"objective-only optimization: no hard upper bound on objective gap | unary domain filtering + participant matching GAC + slot saturation | distance-aware explicit E* bounds and cycle detection | (20),(22)-(27) exactly once over fully reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with compact forward channeling | (28) sparse shared suffix-ladder precedence over distance-labelled E* | linear P* first/last span encoding: B(p)=last-first+1-|Mp| | exact schedule <-> usedSlot channeling | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact max/min objective gap over P* with no hard upper bound",,,result
forum-14.prec15,SAT,OPTIMAL,3.713813,172.324,peak_process_tree_rss_mb,maxsat,UWrMaxSAT,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,process exit code=30,uwrmaxsat,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,staircase,imp12+,reduced,internal_idle_slot_range_pstar,4,4,72,"1,2,3,4,5,6,8,9,11,12,14,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78",4,4,198,5352,5105,247,119728,285963,20,285983,20,53,56,2,"3,2,4,0,4,4,0,4,4,0,0,3,0,4,0,0,3,0,2,0,4,2,4,1,0,4,4,1,4,0,4,4,4,4,4,4,4,4,4,3,1,4,0,3,4,1,2,4,3,2,2,4,4,0,4,4,0,1,3,4,0,2,3,4,4,4,4,0,2,4,4,2,0,3,4,4,4,0","14,22,26,28,32,36,38,38,40,44,40,42,44,36,26,28,22,16,16,6,2,8","10,18,5,13,8,10,14,16,19,13,13,4,1,6,11,12,2,8,9,3,18,10,17,7,13,9,16,6,8,13,14,11,16,14,12,4,13,19,6,22,9,15,8,13,6,5,2,9,15,11,14,10,6,5,12,9,4,7,14,10,13,15,4,14,2,7,13,19,13,11,14,6,7,12,10,16,11,10,15,20,13,17,12,3,18,19,14,3,8,18,14,17,2,9,12,10,10,17,11,8,12,7,12,5,9,11,8,6,6,7,16,8,13,14,13,11,5,8,6,10,7,4,1,10,6,5,4,12,11,9,8,5,7,10,6,13,12,3,14,11,2,17,13,13,16,15,10,20,19,7,5,11,6,3,17,16,7,15,12,6,13,3,19,11,13,17,5,14,18,16,15,4,6,10,15,9,13,14,11,1,7,10,18,5,3,14,15,7,16,8,17,12,11,18,4,6,9,13,12,9,4,8,2,5,3,13,11,17,15,16,10,8,4,9,12,3,7,21,1,11,7,9,20,2,5,4,8,22,19,12,15,6,3,13,10,18,16,17,14,12,22,16,17,8,14,7,9,15,10,12,3,5,10,11,14,12,9,7,12,10,8,5,6,11,9,1,3,7,4,2,8,2,4,5,9,8,11,2,7,12,1,10,9,14,16,9,15,16,19,22,11,3,1,6,5,9,8,4,10,12,7,2",1:M13 M123 M180 M219 M266 M281 M293 | 2:M17 M47 M65 M93 M141 M203 M224 M270 M272 M278 M302 | 3:M20 M84 M88 M138 M154 M162 M185 M205 M216 M233 M251 M267 M292 | 4:M12 M36 M57 M63 M122 M127 M172 M195 M201 M213 M226 M269 M273 M298 | 5:M3 M46 M54 M104 M117 M126 M132 M151 M167 M184 M204 M225 M252 M262 M274 M295 | 6:M14 M28 M39 M45 M53 M72 M108 M109 M119 M125 M135 M153 M160 M173 M196 M232 M263 M294 | 7:M24 M58 M66 M73 M102 M110 M121 M133 M150 M157 M181 M188 M217 M221 M246 M258 M268 M279 M301 | 8:M5 M18 M29 M43 M89 M100 M107 M112 M118 M131 M190 M202 M212 M227 M244 M261 M271 M276 M297 | 9:M19 M26 M41 M48 M56 M94 M105 M130 M176 M197 M200 M214 M222 M247 M257 M265 M275 M283 M286 M296 | 10:M1 M6 M22 M52 M60 M75 M78 M96 M97 M120 M124 M134 M147 M174 M182 M211 M235 M249 M253 M260 M282 M299 | 11:M15 M32 M50 M70 M77 M99 M106 M116 M129 M140 M152 M164 M179 M193 M207 M220 M254 M264 M277 M291 | 12:M16 M35 M55 M74 M83 M95 M101 M103 M128 M137 M159 M192 M199 M215 M230 M240 M250 M256 M259 M280 M300 | 13:M4 M10 M11 M25 M30 M37 M44 M61 M67 M69 M81 M113 M115 M136 M143 M144 M161 M165 M177 M198 M206 M234 | 14:M7 M31 M34 M51 M59 M64 M71 M87 M91 M114 M139 M168 M178 M186 M239 M245 M255 M284 | 15:M42 M49 M62 M79 M146 M158 M171 M175 M187 M209 M231 M248 M287 | 16:M8 M27 M33 M76 M111 M145 M156 M170 M189 M210 M237 M242 M285 M288 | 17:M23 M82 M92 M98 M142 M155 M166 M191 M208 M238 M243 | 18:M2 M21 M85 M90 M169 M183 M194 M236 | 19:M9 M38 M68 M86 M149 M163 M229 M289 | 20:M80 M148 M223 | 21:M218 | 22:M40 M228 M241 M290,,"objective-only optimization: no hard upper bound on objective gap | unary domain filtering + participant matching GAC + slot saturation | distance-aware explicit E* bounds and cycle detection | (20),(22)-(27) exactly once over fully reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with compact forward channeling | (28) sparse shared suffix-ladder precedence over distance-labelled E* | linear P* first/last span encoding: B(p)=last-first+1-|Mp| | exact schedule <-> usedSlot channeling | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact max/min objective gap over P* with no hard upper bound",,,result
forum-14.prec25,UNSAT,UNSAT,1.184748,128.18,peak_process_tree_rss_mb,maxsat,UWrMaxSAT,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,process exit code=20,uwrmaxsat,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,staircase,imp12+,reduced,internal_idle_slot_range_pstar,,,72,"1,2,3,4,5,6,8,9,11,12,14,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78",,,,5352,4816,536,119682,283097,20,283117,20,126,175,4,,,,,,"objective-only optimization: no hard upper bound on objective gap | unary domain filtering + participant matching GAC + slot saturation | distance-aware explicit E* bounds and cycle detection | (20),(22)-(27) exactly once over fully reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with compact forward channeling | (28) sparse shared suffix-ladder precedence over distance-labelled E* | linear P* first/last span encoding: B(p)=last-first+1-|Mp| | exact schedule <-> usedSlot channeling | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact max/min objective gap over P* with no hard upper bound",,,result
forumt-14.prec15,SAT,OPTIMAL,0.728683,61.883,peak_process_tree_rss_mb,maxsat,UWrMaxSAT,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,process exit code=30,uwrmaxsat,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,staircase,imp12+,reduced,internal_idle_slot_range_pstar,2,2,59,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60",2,2,45,2276,2174,102,25261,69638,7,69645,7,44,54,4,"0,0,2,1,2,0,0,2,0,0,1,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2,2,1,2,1,0,2,0,2,2,2,1,2,2","42,44,42,50,50,48,50,50,50,48","2,4,5,3,10,7,1,8,1,1,4,6,9,3,1,10,5,2,8,9,8,6,4,6,3,7,2,5,2,7,8,1,2,9,3,2,8,4,9,10,2,1,4,3,6,10,7,10,4,5,8,9,1,5,7,1,6,2,9,8,4,2,9,3,1,6,4,8,10,5,6,9,10,3,7,1,3,10,1,5,6,9,8,2,7,4,7,10,4,9,6,5,7,6,9,8,4,10,3,5,8,9,7,4,10,6,7,8,7,2,5,6,9,6,9,3,10,4,2,8,5,2,4,8,5,8,7,6,10,9,2,10,7,9,6,10,5,3,4,8,2,4,9,10,1,3,5,1,4,7,3,4,6,9,8,2,5,1,7,10,9,2,10,8,3,4,5,7,1,4,2,5,7,8,9,6,5,3,4,5,2,7,5,9,1,10,6,7,9,3,5,10,1,6,7,8,1,10,9,2,6,6,10,1,8,2,5,4,7,3,8,7,5,9,6,6,10,1,3,7,10,4,6,3,8,1,5,2,8,3,4,9,7,8,4,5,3",1:M7 M9 M10 M15 M32 M42 M53 M56 M65 M76 M79 M145 M148 M158 M169 M185 M193 M197 M204 M218 M226 | 2:M1 M18 M27 M29 M33 M36 M41 M58 M62 M84 M110 M119 M122 M131 M141 M156 M162 M171 M181 M200 M206 M228 | 3:M4 M14 M25 M35 M44 M64 M74 M77 M99 M116 M138 M146 M151 M165 M178 M190 M210 M219 M224 M230 M237 | 4:M2 M11 M23 M38 M43 M49 M61 M67 M86 M89 M97 M104 M118 M123 M139 M142 M149 M152 M166 M170 M179 M208 M222 M231 M235 | 5:M3 M17 M28 M50 M54 M70 M80 M92 M100 M111 M121 M125 M137 M147 M157 M167 M172 M177 M180 M183 M191 M207 M213 M227 M236 | 6:M12 M22 M24 M45 M57 M66 M71 M81 M91 M94 M106 M112 M114 M128 M135 M153 M176 M187 M194 M201 M202 M215 M216 M223 | 7:M6 M26 M30 M47 M55 M75 M85 M87 M93 M103 M107 M109 M127 M133 M150 M159 M168 M173 M182 M188 M195 M209 M212 M220 M233 | 8:M8 M19 M21 M31 M37 M51 M60 M68 M83 M96 M101 M108 M120 M124 M126 M140 M155 M164 M174 M196 M205 M211 M225 M229 M234 | 9:M13 M20 M34 M39 M52 M59 M63 M72 M82 M90 M95 M102 M113 M115 M130 M134 M143 M154 M161 M175 M184 M189 M199 M214 M232 | 10:M5 M16 M40 M46 M48 M69 M73 M78 M88 M98 M105 M117 M129 M132 M136 M144 M160 M163 M186 M192 M198 M203 M217 M221,,"objective-only optimization: no hard upper bound on objective gap | unary domain filtering + participant matching GAC + slot saturation | distance-aware explicit E* bounds and cycle detection | (20),(22)-(27) exactly once over fully reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with compact forward channeling | (28) sparse shared suffix-ladder precedence over distance-labelled E* | linear P* first/last span encoding: B(p)=last-first+1-|Mp| | exact schedule <-> usedSlot channeling | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact max/min objective gap over P* with no hard upper bound",,,result
forumt-14.prec25,SAT,OPTIMAL,0.79213,61.016,peak_process_tree_rss_mb,maxsat,UWrMaxSAT,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,process exit code=30,uwrmaxsat,/home/adminlinux/solver-build/uwrmaxsat/build/release/bin/uwrmaxsat,staircase,imp12+,reduced,internal_idle_slot_range_pstar,2,2,59,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60",2,2,43,2276,2018,258,25102,67348,7,67355,7,93,145,4,"0,0,2,0,2,0,0,2,1,0,2,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,2,0,0,1,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,0,1,0,2,1,2,1,2,2","40,46,42,48,48,54,50,52,48,46","10,9,3,8,5,6,1,4,6,4,5,10,7,9,6,8,2,3,10,7,4,8,6,2,8,5,6,9,10,5,8,9,1,10,9,4,2,1,8,7,2,7,6,5,3,8,9,5,4,2,8,7,3,10,9,4,1,2,6,8,7,7,3,6,2,8,1,4,10,5,8,7,4,1,10,2,7,6,2,4,9,3,8,1,10,5,10,3,7,4,6,8,2,6,5,4,3,7,3,9,10,2,8,5,4,7,9,10,9,6,10,2,1,6,7,1,3,10,9,4,5,3,2,6,2,3,6,1,5,4,3,5,4,8,7,5,1,6,10,9,3,1,2,4,9,6,3,2,9,5,7,9,3,4,5,1,6,8,2,10,6,7,3,8,1,5,2,4,9,9,4,7,5,8,5,7,4,3,10,8,6,6,8,7,10,2,6,8,7,1,5,2,7,9,3,4,1,8,7,2,6,10,9,1,6,4,5,7,2,3,4,7,9,1,6,8,8,1,10,1,4,5,9,2,8,7,10,6,9,10,6,5,3,10,9,8,5",1:M7 M33 M38 M57 M67 M74 M84 M113 M116 M128 M137 M142 M156 M165 M190 M197 M204 M214 M218 M220 | 2:M17 M24 M37 M41 M50 M58 M65 M76 M79 M93 M102 M112 M123 M125 M143 M148 M159 M167 M186 M192 M200 M209 M224 | 3:M3 M18 M45 M53 M63 M82 M88 M97 M99 M117 M122 M126 M131 M141 M147 M153 M163 M178 M195 M210 M233 | 4:M8 M10 M21 M36 M49 M56 M68 M73 M80 M90 M96 M105 M120 M130 M133 M144 M154 M168 M171 M177 M196 M206 M211 M221 | 5:M5 M11 M26 M30 M44 M48 M70 M86 M95 M104 M121 M129 M132 M136 M150 M155 M166 M173 M175 M191 M207 M222 M232 M237 | 6:M6 M9 M15 M23 M27 M43 M59 M64 M78 M91 M94 M110 M114 M124 M127 M138 M146 M157 M161 M181 M182 M187 M201 M205 M215 M228 M231 | 7:M13 M20 M40 M42 M52 M61 M62 M72 M77 M89 M98 M106 M115 M135 M151 M162 M172 M176 M184 M189 M193 M199 M208 M212 M226 | 8:M4 M16 M22 M25 M31 M39 M46 M51 M60 M66 M71 M83 M92 M103 M134 M158 M164 M174 M180 M183 M188 M198 M216 M217 M225 M236 | 9:M2 M14 M28 M32 M35 M47 M55 M81 M100 M107 M109 M119 M140 M145 M149 M152 M169 M170 M194 M203 M213 M223 M229 M235 | 10:M1 M12 M19 M29 M34 M54 M69 M75 M85 M87 M101 M108 M111 M118 M139 M160 M179 M185 M202 M219 M227 M230 M234,,"objective-only optimization: no hard upper bound on objective gap | unary domain filtering + participant matching GAC + slot saturation | distance-aware explicit E* bounds and cycle detection | (20),(22)-(27) exactly once over fully reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with compact forward channeling | (28) sparse shared suffix-ladder precedence over distance-labelled E* | linear P* first/last span encoding: B(p)=last-first+1-|Mp| | exact schedule <-> usedSlot channeling | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact max/min objective gap over P* with no hard upper bound",,,result
