instance,sat_result,status,runtime_s,n_vars,n_hard_clauses,n_soft_clauses,n_optimization_clauses,n_total_clauses,peak_memory_mb,memory_metric,solver,precedence_mode,staircase,encoding_variant,total_breaks,fairness_gap,participant_breaks,busy_participants_per_slot,assignment,schedule_by_slot,validation_errors,enabled_constraints,error_type,error_message,message_type,n_clauses,n_soft,total_clauses
forumt-14crafc.fixed020-Forb,SAT,OPTIMAL,0.384337,26013,68569,7,0,68576,113.785,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,48,2,"0,0,2,1,2,0,0,0,1,0,0,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0,2,2,0,2,1,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0,2,2,1,2,1,0,0,0,2,2,2,1,2,2","40,44,48,50,48,48,50,50,48,48","3,2,6,5,8,7,1,10,5,2,6,7,3,8,2,10,4,9,6,4,6,10,7,10,2,3,9,8,9,1,8,7,10,2,9,4,2,7,5,9,10,3,2,6,4,7,8,3,4,9,1,5,8,10,6,8,9,2,4,7,5,3,6,1,9,5,7,2,4,10,8,1,5,9,4,10,3,7,2,9,5,6,1,4,10,8,4,6,3,1,8,2,2,6,10,7,3,4,1,4,6,7,8,9,5,3,8,5,4,7,2,3,6,2,4,7,10,1,3,5,8,3,4,9,4,9,7,8,6,10,1,10,5,8,4,3,9,7,1,6,10,7,9,8,2,6,4,8,5,7,1,9,5,2,7,6,3,8,10,4,8,5,1,3,10,6,9,4,2,6,9,3,5,6,8,5,10,1,3,1,3,7,9,4,10,2,10,6,8,3,5,9,10,2,4,1,9,8,7,5,6,6,5,4,2,3,10,9,7,1,10,7,6,5,1,8,4,7,1,3,2,5,6,9,4,1,7,10,8,5,9,7,3,5,8,3,2",1:M7 M30 M51 M64 M72 M83 M90 M99 M118 M131 M139 M151 M163 M178 M180 M196 M210 M215 M219 M226 | 2:M2 M10 M15 M25 M34 M37 M43 M58 M68 M79 M92 M93 M111 M114 M145 M154 M169 M186 M194 M205 M221 M237 | 3:M1 M13 M26 M42 M48 M62 M77 M89 M97 M106 M112 M119 M122 M136 M157 M164 M172 M179 M181 M190 M206 M220 M233 M236 | 4:M17 M20 M36 M45 M49 M59 M69 M75 M84 M87 M98 M100 M109 M115 M123 M125 M135 M147 M160 M168 M184 M195 M204 M217 M225 | 5:M4 M9 M39 M52 M61 M66 M73 M81 M105 M108 M120 M133 M149 M153 M162 M173 M176 M191 M200 M203 M214 M222 M230 M234 | 6:M3 M11 M19 M21 M44 M55 M63 M82 M88 M94 M101 M113 M129 M140 M146 M156 M166 M170 M174 M188 M201 M202 M213 M223 | 7:M6 M12 M23 M32 M38 M46 M60 M67 M78 M96 M102 M110 M116 M127 M138 M142 M150 M155 M182 M199 M209 M212 M218 M227 M232 | 8:M5 M14 M28 M31 M47 M53 M56 M71 M86 M91 M103 M107 M121 M128 M134 M144 M148 M158 M161 M175 M189 M198 M216 M229 M235 | 9:M18 M27 M29 M35 M40 M50 M57 M65 M74 M80 M104 M124 M126 M137 M143 M152 M167 M171 M183 M192 M197 M208 M224 M231 | 10:M8 M16 M22 M24 M33 M41 M54 M70 M76 M85 M95 M117 M130 M132 M141 M159 M165 M177 M185 M187 M193 M207 M211 M228,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,68569,7,68576
forumt-14crafc.fixed040-Forb,UNSAT,UNSAT,0.303836,24826,60232,7,0,60239,101.004,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,60232,7,60239
forumt-14crafd.fixed020-Forb,UNSAT,UNSAT,0.32084,25691,68169,8,0,68177,111.168,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,68169,8,68177
forumt-14crafd.fixed040-Forb,UNSAT,UNSAT,0.260446,24827,60238,8,0,60246,102.5,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,60238,8,60246
forumt-14crafe.fixed020-Forb,UNSAT,UNSAT,0.292881,25790,68387,8,0,68395,103.98,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,68387,8,68395
forumt-14crafe.fixed040-Forb,UNSAT,UNSAT,0.265664,24933,60470,8,0,60478,102.707,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,60470,8,60478
tic-12.fixed020-Forb,UNSAT,UNSAT,0.105135,5074,18963,6,0,18969,91.016,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,18963,6,18969
tic-12.fixed040-Forb,UNSAT,UNSAT,0.081713,4595,15686,6,0,15692,88.668,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,15686,6,15692
tic-12crafc.fixed020-Forb,UNSAT,UNSAT,0.143379,14245,33041,6,0,33047,91.879,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,33041,6,33047
tic-12crafc.fixed040-Forb,UNSAT,UNSAT,0.135739,13826,29884,6,0,29890,95.055,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,29884,6,29890
