instance,staircase,solver,basic,imp1,imp2,imp12,imp12+
forum-13.prec15,yes,incremental,8.9 0,-,-,-,-
forum-13.prec25,yes,incremental,ERR,-,-,-,-
forum-13crafb.prec15,yes,incremental,ERR,-,-,-,-
forum-13crafb.prec25,yes,incremental,ERR,-,-,-,-
forum-13crafc.prec15,yes,incremental,TO -,-,-,-,-
forum-13crafc.prec25,yes,incremental,ERR,-,-,-,-
forum-14.prec15,yes,incremental,TO -,-,-,-,-
forum-14.prec25,yes,incremental,ERR,-,-,-,-
forumt-14.prec15,yes,incremental,14.1 5,-,-,-,-
forumt-14.prec25,yes,incremental,90.2 5,-,-,-,-
forumt-14crafc.prec15,yes,incremental,TO -,-,-,-,-
forumt-14crafc.prec25,yes,incremental,TO -,-,-,-,-
forumt-14crafd.prec15,yes,incremental,39.2 4,-,-,-,-
forumt-14crafd.prec25,yes,incremental,TO -,-,-,-,-
forumt-14crafe.prec15,yes,incremental,TO -,-,-,-,-
forumt-14crafe.prec25,yes,incremental,TO -,-,-,-,-
tic-12.prec15,yes,incremental,1.4 0,-,-,-,-
tic-12.prec25,yes,incremental,8.3 0,-,-,-,-
tic-12crafc.prec15,yes,incremental,6.7 0,-,-,-,-
tic-12crafc.prec25,yes,incremental,TO -,-,-,-,-
tic-13.prec15,yes,incremental,6.7 0,-,-,-,-
tic-13.prec25,yes,incremental,30.5 0,-,-,-,-
tic-13crafb.prec15,yes,incremental,9.8 0,-,-,-,-
tic-13crafb.prec25,yes,incremental,24.2 0,-,-,-,-
tic-13crafc.prec15,yes,incremental,TO -,-,-,-,-
tic-13crafc.prec25,yes,incremental,TO -,-,-,-,-
tic-14crafa.prec15,yes,incremental,12.9 0,-,-,-,-
tic-14crafa.prec25,yes,incremental,TO -,-,-,-,-
tic-14crafc.prec15,yes,incremental,TO -,-,-,-,-
tic-14crafc.prec25,yes,incremental,TO -,-,-,-,-
tic-14crafd.prec15,yes,incremental,TO -,-,-,-,-
tic-14crafd.prec25,yes,incremental,TO -,-,-,-,-
ticf-13crafa.prec15,yes,incremental,11.8 0,-,-,-,-
ticf-13crafa.prec25,yes,incremental,ERR,-,-,-,-
ticf-13crafb.prec15,yes,incremental,ERR,-,-,-,-
ticf-13crafb.prec25,yes,incremental,ERR,-,-,-,-
ticf-13crafc.prec15,yes,incremental,79.0 1,-,-,-,-
ticf-13crafc.prec25,yes,incremental,ERR,-,-,-,-
ticf-14crafa.prec15,yes,incremental,TO -,-,-,-,-
ticf-14crafa.prec25,yes,incremental,ERR,-,-,-,-
